"","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,9,7,8,6,2,4,5,7,3,4,4,3,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
"073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,8,7,8,6,2,4,5,7,3,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
"101",0,0,2,3,6,0,3,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",0,4,9,4,7,6,3,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",0,4,8,4,8,6,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",0,4,7,4,8,8,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",0,4,8,4,8,7,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",0,4,7,4,8,8,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",0,4,8,4,8,8,3,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",0,4,7,4,7,7,3,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0,4,8,4,7,8,3,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",0,4,7,4,7,8,3,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",0,4,8,4,8,8,3,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",0,4,7,4,8,7,3,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0,4,8,4,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",0,3,6,5,6,5,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",0,3,6,5,6,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",0,3,6,5,6,5,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",0,3,7,5,4,6,3,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",0,4,8,4,8,7,3,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",0,4,7,4,8,7,3,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",4,7,8,5,7,8,3,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",0,3,8,5,6,7,3,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",0,3,8,5,8,8,3,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",4,7,8,5,8,7,3,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",0,4,8,5,8,8,3,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"301",0,0,5,4,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302",0,0,5,4,8,9,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"303",0,0,0,4,8,7,3,0,2,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"304",0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"305",4,8,9,7,8,7,4,1,3,0,5,6,1,4,3,3,4,3,4,4,4,4,4,4,4,4,7,4,4,5,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"306",0,0,0,4,7,6,5,0,3,0,3,5,1,2,3,4,4,3,4,4,4,4,4,4,4,4,8,4,4,5,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"307",0,0,0,4,5,3,4,1,3,0,4,6,0,4,4,4,4,4,4,4,4,4,4,4,4,5,8,4,4,5,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"308",0,0,0,5,7,6,3,1,3,1,4,5,0,4,2,4,4,4,4,4,4,4,4,3,4,4,9,4,4,5,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"309",0,0,0,5,8,7,5,1,3,1,5,6,1,4,3,4,4,4,4,4,4,4,4,4,4,4,8,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"310",0,0,0,4,8,9,6,1,3,2,5,5,0,4,3,1,4,3,4,2,4,3,4,4,4,4,8,4,4,4,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"311",0,0,1,4,7,3,3,1,3,2,4,5,1,2,2,4,3,4,4,4,4,4,4,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"312",0,0,0,4,3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313",0,0,5,4,4,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314",0,4,7,7,7,7,2,0,0,0,4,6,0,4,4,3,4,4,4,4,4,4,3,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"315",0,0,0,6,8,7,2,0,0,0,4,5,1,4,3,4,4,4,4,4,4,4,3,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"316",0,0,5,3,6,7,2,0,0,0,3,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"318",0,0,0,5,6,7,3,0,0,0,3,5,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"319",0,0,0,3,3,4,2,0,0,0,3,5,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"320",0,0,5,6,8,8,3,0,0,2,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"321",4,8,8,7,7,9,7,1,3,2,5,6,1,4,4,4,4,4,4,4,4,4,3,4,4,4,8,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"322",0,0,0,6,8,9,7,1,3,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"323",4,8,9,7,8,9,7,1,4,2,5,5,1,4,4,3,4,4,4,4,4,4,4,4,4,5,9,4,4,6,5,6,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"324",4,8,8,7,8,9,7,1,4,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"325",0,0,1,4,8,9,7,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"326",0,0,0,5,8,8,3,0,0,0,4,6,1,4,4,4,4,4,4,4,4,4,4,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"327",0,0,0,5,8,7,3,0,0,2,5,5,1,4,3,4,4,4,4,4,4,4,3,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"328",3,8,6,7,7,6,6,0,4,1,5,5,0,4,3,4,4,4,4,4,4,4,4,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"329",0,0,5,6,8,9,7,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,3,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"330",0,0,0,6,7,8,3,0,0,0,4,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331",0,0,0,6,8,6,2,0,0,0,4,5,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332",0,0,5,6,6,6,2,0,0,0,4,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333",0,0,0,6,8,8,2,0,0,1,5,6,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334",0,0,5,6,7,6,2,0,0,2,5,4,0,0,0,0,4,4,4,4,4,4,4,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"335",0,0,0,5,8,8,6,0,4,2,5,6,1,4,3,4,4,4,4,4,4,4,4,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"336",0,0,0,4,8,8,6,1,4,2,5,5,1,2,3,4,4,4,4,4,4,4,4,4,4,5,9,4,4,5,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"337",0,0,0,6,8,7,5,1,4,2,5,6,1,3,4,4,4,4,4,4,4,4,4,4,4,5,9,4,4,6,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"338",4,8,7,7,8,9,7,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4,8,8,7,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"339",0,0,0,2,4,4,5,1,4,2,5,4,0,0,2,3,4,4,4,4,4,4,4,4,4,5,9,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"340",2,4,2,7,7,8,7,0,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,4,6,10,8,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,8,8,8,7,5,6,6,6,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
"401",0,0,0,7,7,8,6,1,4,2,5,6,1,3,4,4,4,4,4,4,4,4,4,4,4,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"402",0,0,0,6,7,8,6,1,3,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"403",0,0,0,3,1,0,0,0,1,0,0,1,0,3,4,4,4,4,4,4,4,4,4,4,4,7,9,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"404",0,0,0,7,6,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,4,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"405",4,8,7,7,7,8,6,1,4,2,5,5,1,4,4,4,4,4,4,4,4,4,4,4,4,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"406",0,0,0,7,7,7,6,1,4,2,4,6,1,2,3,3,4,4,4,4,4,4,4,4,4,6,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"407",0,0,0,7,7,8,6,1,4,2,4,6,1,2,4,3,4,4,4,4,4,4,4,4,4,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"408",0,0,0,5,6,4,1,0,2,0,1,0,0,1,3,4,3,0,4,4,4,4,4,4,4,7,9,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"409",4,7,7,2,0,0,4,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"410",4,8,7,5,7,8,5,1,4,2,5,6,1,2,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"411",4,8,7,2,0,0,3,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,9,8
"412",4,8,7,5,7,8,6,1,4,2,4,5,1,3,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,6,7,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"413",4,8,7,2,0,0,3,1,4,2,4,5,0,4,4,4,4,4,4,3,4,4,4,4,7,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"414",4,8,6,7,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"415",1,0,0,0,0,0,4,0,4,2,5,5,1,4,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"416",4,8,7,7,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,7,9,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,10
"417",1,0,0,0,0,0,4,0,4,2,5,5,1,4,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"418",4,8,7,7,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,8,8
"419",3,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501",4,8,7,5,7,8,6,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,7,7,4,4,3,4,4,4,4,4,4,4,4,4,4,4,8,9,8,9,8,8
"502",4,8,7,2,0,0,4,1,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"503",4,8,8,5,7,7,6,0,4,2,5,6,1,4,4,4,4,4,4,4,4,4,4,4,7,7,10,9,8,8,7,6,6,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
